57,The crisis on Mount Sinjar eased after Kurdish fighters—including Mazloum’s militia—created an escape route for the Yazidis into Syria.
58,Pentagon officials took note.
59,The United States had struggled to identify or create a credible rebel force in Syria.
60,"Mazloum had a standing militia that proved it could fight, even with only vintage weapons."
61,"Between 2011 and 2013, without foreign support, it had pushed Syrian government forces out of northern Kurdish towns during the Arab Spring and fought off an Al Qaeda franchise that moved on Kurdish turf."
62,A senior U.S. military official looked for an introduction.
63,"The United States was not the only country interested in the Kurdish general, U.S. officials told me."
64,"On the morning of August 18th, Mazloum met Qassem Suleimani, the head of Iran’s Quds Force, the most élite unit in the Revolutionary Guard."
65,The Iranians had rushed in—faster than the Americans did—to help the Iraqis hold off the ISIS juggernaut.
66,"Hours after meeting the Iranian commander, Mazloum rendezvoused with the American official in Suleimaniya, a Kurdish city in northern Iraq."
67,"Mazloum came with complications, however."
68,"His original militia was the People’s Protection Units, or Y.P.G."
69,; it was Kurdish.
70,Its political arm sought autonomy in Syria.
71,"Many of its members, including Mazloum, had trained with a militant Turkish movement—the Kurdistan Workers’ Party, or P.K.K.—which was waging an insurgency to win autonomy in Turkey."
72,The P.K.K.
73,was on the U.S. and Turkish lists of terrorist organizations.
74,"Its leader, Abdullah Öcalan, had lived in the Kurdish region of Syria for two decades before he was imprisoned, in 1999, in Turkey."
75,Öcalan was a personal friend of Mazloum’s; they were once photographed swimming together in the Euphrates River.
76,"“For a period of time, I served in P.K.K."
77,"ranks,” Mazloum told me."
78,"“Öcalan was working here, and the people here had loyalty to him."
79,But the Y.P.G.
80,is not a terrorist organization.
81,"Always the Turks like to paint everything in Syria like it’s the P.K.K., but this is not true.” Yet Mazloum has relatives who are still with the P.K.K."
82,Huge posters of Öcalan adorned every Y.P.G.
83,and S.D.F.
84,base I visited.
85,"The American overture to Mazloum had both conditions and limits, senior U.S. officials told me."
86,"The U.S.-backed coalition could provide strategic advice but no major arms, because of the Y.P.G.’s history."
87,"If the Kurds took territory from ISIS, they had to include other ethnic or religious groups, notably Arabs and Christians, in setting up governance and security."
88,The Kurdish militia had to accept that its region would remain part of Syria—and not try to break away into an independent Kurdish state.
89,And they had to vow not to attack Turkish interests.
90,"If any of those terms were violated, the U.S. would walk away."
91,Mazloum opted for an alliance with the Americans.
92,"“At the time, ISIS was getting stronger every day,” he told me."
93,“We were at capacity just stemming the tide and protecting our area.
94,The United States intervening in this fight changed the balance of power between us and ISIS.”
95,"The makeshift alliance was tested a few weeks later, when ISIS invaded Kobani, a strategic town built as a whistle stop on the Berlin-Baghdad railway."
96,Kobani is Mazloum’s home town.
97,He incorporated it into the nom de guerre by which he is known.
98,(His real name is Ferhat Abdi Şahin.)
99,"ISIS seized sixty per cent of the city, forcing most of its forty thousand residents to flee across the border to Turkey."
100,"In October, 2014, I watched from a nearby hill in Turkey as ISIS pounded Kobani with thundering artillery."
101,ISIS’s black-and-white flag billowed on the horizon.
113,Kobani proved to be a turning point for Washington.
114,"The Obama Administration expanded its intervention, from Iraq into Syria, with air strikes on ISIS forces in Kobani."
115,Among the targets was Mazloum’s home.
116,ISIS had seized it as an operations center.
117,"Mazloum approved the U.S. decision to destroy it, a senior U.S. official told me."
118,The marriage of American air power and a tough local militia on the ground—dubbed the “hammer and anvil” strategy—succeeded.
119,"After a gruelling five-month battle, ISIS experienced its first defeat."
120,"In January, 2015, Mazloum’s militia hoisted its yellow banner atop Kobani’s highest hill; fighters, both male and female, danced by firelight amid the city’s bombed-out ruins."
121,"Kobani, where more than thirteen hundred Kurds perished, still ranks as the longest, deadliest, and most vicious battle with the Islamic State."
122,It later became a base used by U.S. Special Forces and a small team of U.S. diplomats.
123,The partnership deepened in the second phase.
124,"In April, 2015, the U.S. approached Mazloum about leading the war against ISIS beyond Syria’s Kurdish regions."
125,The Obama Administration was on the verge of abandoning a separate Pentagon program to train fifteen thousand Syrians in Turkey and Jordan.
126,"Five hundred million dollars had been allocated for the program; ultimately, fifty million dollars were spent, and it produced only a handful of trained soldiers."
127,"“I wasn’t happy with the early efforts,” Secretary of Defense Ash Carter admitted at a news conference in Washington at the time."
128,“So we have devised a number of different approaches.” They relied heavily on Mazloum’s militia.
141,"The Kurdish general was initially hesitant about fighting in Syria’s Arab heartland, U.S. officials told me."
142,Kurds and Arabs have a troubled history.
143,Thousands of Sunnis from conservative local Arab tribes had joined ISIS.
144,"To liberate those areas, Mazloum told his U.S. counterparts, he needed to recruit Arab tribal sheikhs to support him and form an Arab wing of his militia."
145,"A purely Kurdish militia wouldn’t be welcome, he warned."
146,"In turn, Mazloum wanted the U.S. to train the Arab fighters and provide them with weapons that he did not have—and that his own fighters could not receive because of the Y.P.G.’s controversial status."
147,The U.S. agreed.
148,The Y.P.G.
149,"merged with new Arab, Turkmen, and Assyrian wings into the new Syrian Democratic Forces."
150,"In October, 2015, the first U.S. team was deployed in Syria to train and advise them."
151,In a grinding campaign that often involved house-to-house fighting and claimed the lives of thousands of S.D.F.
152,"members, the group slowly seized territory—Tal Abyad, al-Hawl, the Tishreen Dam, al-Shaddadi, and Manbij—that cut off land routes for foreign fighters and supplies coming through Turkey."
153,"Thousands of U.S. and coalition air strikes demolished ISIS offices, barracks, convoys, checkpoints, and arms depots."
154,"They picked off ISIS leaders, including Abu Muhammad al-Adnani, the social-media mastermind of ISIS, and Jihadi John, the executioner with a British accent who beheaded, on video, the Americans journalists James Foley and Steven Sotloff, three Western aid workers, and two Japanese reporters."
155,The Obama Administration also quietly deployed hundreds of additional U.S. Special Forces to Syria.
156,"Mazloum, who had kept a low profile after multiple assassination attempts against him, began hosting top Pentagon brass and congressional delegations, including Senators John McCain and Lindsey Graham, who travelled to liberated corners of Syria."
169,As S.D.F.
170,"capabilities expanded, the U.S. asked Mazloum to take on the biggest challenge yet: liberating Raqqa, the ISIS capital, a city with a quarter of a million residents."
171,"Implicit in the U.S. request was an awareness that the fighting was likely to be long, intense, and costly in human life."
172,A senior U.S. official who worked with Mazloum remembered the conversation.
173,"“Whatever we laid out to him, what we wanted the campaign to be, he looked at me and said, ‘I trust your judgment."
174,"We would probably, for other reasons, do this a little bit differently."
175,"I understand your logic, and I agree.’ ” Mazloum noted, however, that he would need more sophisticated arms for urban warfare."
176,"This time, he said, the Kurdish Y.P.G."
177,fighters in the S.D.F.
178,"would have to receive U.S. arms, as well."
179,"During the 2016 Presidential campaign, Donald Trump had repeatedly blasted the Obama Administration for not doing enough to defeat ISIS."
180,He vowed to do more—much more.
181,"“I would bomb the shit out of them,” he said at one rally."
182,“I’d just bomb those suckers.
183,"I’d blow up the pipes, I’d blow up the refineries, I’d blow up every single inch—there would be nothing left.” In May, 2017, four months after taking office, Trump approved arms shipments—machine guns, mortars, anti-tank weapons, armored cars, and engineering equipment—to the Kurds."
184,The battle for Raqqa accelerated in June.
186,seized the ISIS capital in October.
187,More than six hundred and fifty S.D.F.
188,"fighters—Kurds, Arabs, Turkmen, and Syriac Christians—were killed in Raqqa."
197,"The joint campaign faced sporadic challenges—menacing warnings from the Syrian government, the deployment of Russian mercenaries nearby, and constant criticism from Turkey."
198,"In November, 2017, President Recep Tayyip Erdoğan called Trump, who was in Florida, preparing for a round of golf with Tiger Woods, to complain about U.S. arms flowing to Kurds in the S.D.F., which Erdoğan considered a terrorist group."
199,"Surprising his aides, Trump promised to stop the shipments."
200,"Former U.S. officials familiar with the call told me that the President did not fully grasp the details, players, or regional politics of his own decision to arm the Kurds—or that it was the decision that enabled the Kurdish-led S.D.F."
201,to liberate Raqqa.
202,"U.S. officials had to convince Trump that the weapons were essential because the war with ISIS was not over, a former Pentagon official told me The U.S. arms shipments to the Kurds continued."
203,"The campaign against ISIS was nearly derailed again when Turkish-backed fighters invaded Afrin, one of three Kurdish cantons in northern Syria, in January, 2018."
204,The offensive followed news that the U.S. planned to create a border force of several thousand—half from the S.D.F.
205,and half new recruits—to better secure the Syrian borders with Turkey and Iraq.
206,Tens of thousands of foreign fighters had passed through Turkish territory to join the caliphate.
207,The U.S.-backed border force was designed to deal with a problem that Erdoğan had not addressed.
208,Erdoğan countered that the U.S. was “creating a terror army” and vowed to “suffocate” it.
225,The Turkish-backed invasion forced Mazloum to pull S.D.F.
226,"troops away from the front line with ISIS, to defend Afrin—this time without U.S. air power to support them."
227,"Washington disapproved of Ankara’s offensive, but Turkey was a NATO ally."
229,"was no match for Turkey’s tanks, artillery, and warplanes."
230,"After two months, Mazloum’s militia retreated."
231,Relations soured with the United States; the offensive against ISIS stalled.
232,U.S. intelligence predicted that Mazloum might even end the partnership.
233,"“We’re on the two-yard line,” a senior U.S. Special Forces commander told NBC News."
234,“We could literally fall into the end zone.
235,"We’re that close to total victory, to wiping out the ISIS caliphate in Syria."
236,"We’re that close, and now it’s coming apart.”"
237,The S.D.F.
238,was also scrambling to administer and secure the region—roughly a third of Syria—that it had liberated.
239,Towns were war-ravaged.
240,Basic services were destroyed.
241,Many residents had fled.
242,"In Arab areas, the S.D.F."
243,turned to tribal sheikhs to help form new city councils.
244,“The S.D.F.
245,did not just clear territory.
246,"They held it,” McGurk, the former lead coördinator of the campaign, told me."
247,“They recruited locals to govern and established a permissive security environment.
248,That’s what allowed us to be in Syria with a very light U.S. footprint.”
253,"Mazloum’s militia, which included a large female force, returned to the ISIS battlefront last fall."
254,"The final hurdle was to clear Deir Ezzor province, which is home to Syria’s most valuable oil fields."
255,"In December, the S.D.F."
256,captured Hajin and began mapping out the next two months of operations with U.S. Special Forces.
257,Their focus was on eliminating the stubborn Islamic State pockets near the Iraqi border and stabilizing liberated areas to prevent an ISIS resurgence.
258,"“We have obviously learned a lot of lessons in the past, so we know that once the physical space is defeated we can’t just pick up and leave,” McGurk told reporters on December 11th."
259,"“We’re prepared to make sure that we do all we can to ensure this is enduring.” U.S. goals, he added, “will take some time.”"
260,"Six days later, Mazloum was summoned by General Joseph Votel, the head of U.S. operations in the Middle East, for a video conference."
261,"The timing, at midnight in Syria, was unexpected."
262,So was the message.
263,"“I was the first one to hear the words,” Salar Malla, Mazloum’s aide-de-camp and translator, told me."
264,"“Before you translate anything, you have to absorb it."
265,"I spoke the words, but I didn’t believe them.”"
281,"General Votel informed Mazloum that he had received a letter from the White House two hours earlier, ordering the immediate withdrawal of U.S. troops from Syria."
282,"Votel did not know the details, he told Mazloum, but he had wanted the Kurd to hear it from him rather than from the media."
283,"“It was a surprise,” Mazloum told me, at his forward operating base."
284,"“We didn’t believe that in the middle of the battle, when we’re fighting against ISIS, when we’re fighting against all the others, that our partners would abandon us."
285,"To be honest, the painful point for us was that America is a great country."
286,How could a great country behave like that and abandon its allies in the middle of the fight?
287,"And, from that time on, how are people going to trust in the Americans or partner with them in any fight in the future?”"
288,"Trump had made the decision unilaterally, U.S. officials told me."
289,"There had been no interagency review, no conferring with military brass, no discussions with the dozens of other countries in the U.S.-led coalition."
290,Many were as surprised as Mazloum was.
291,The pivot had been another telephone conversation with President Erdoğan.
292,The Turkish leader asked why the U.S. needed two thousand troops in Syria if the caliphate was collapsing.
293,"Two days later, Trump tweeted, “We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency.” The problem was that ISIS had not yet collapsed."
294,"It still had tens of thousands of fighters, families, and fans in pockets of the Euphrates River Valley."
309,"In Washington, the backlash to Trump’s abrupt decision was immediate."
310,"Defense Secretary James Mattis pleaded with the President to change his mind; when he didn’t, Mattis resigned."
311,So did McGurk.
312,Even Trump’s Republican allies expressed outrage.
313,Lindsey Graham called the decision a “stain on the honor of the United States.” A bipartisan group of senators appealed to the White House.
314,"“If you decide to follow through with your decision to pull our troops out of Syria, any remnants of ISIS in Syria will surely renew and embolden their efforts in the region,” they wrote."
315,"In a rare public statement, Mazloum also appealed to Trump, asking him to keep at least half of the two thousand troops in place until all of the Islamic State’s territory was liberated."
316,"“We would like to have air cover, air support and a force on the ground to coordinate with us,” Kobani told reporters travelling with an American military delegation."
317,"“American forces must remain beside us.” Trump had once pledged to protect the S.D.F., Mazloum said."
318,"“I want him to live up to his word.” In a separate conversation, he admitted to me, “We’re worried about being alone again.”"
337,"Mazloum did not waver, however."
338,"“Immediately, we started thinking of the phase after the American presence in Syria, and how we’re going to distribute our forces and depend on our own capacity to preserve those gains,” he told me."
339,"“At the end of the day, this is an internal American decision, and we cannot intervene in it."
340,So we started thinking about how we’re going to be able to fight and do policy without them.”
341,"A senior U.S. official who had worked closely with Mazloum reflected, “Never once did he not live up to exactly what he said he was going to do.” The S.D.F."
342,fought on as the United States quietly began pulling out troops and equipment.
343,"The final front line was Baghouz, the farming hamlet near the Iraqi border."
344,"It was a long slog, with repeated pauses to allow civilians, including the families of ISIS fighters, to leave."
345,"“We don’t want the images from our last battle to be bloody,” Mazloum told me."
346,“We’re not ISIS.”
347,"When Baghouz finally fell, on March 23rd, Mazloum hosted a small liberation ceremony at his base."
348,"“It was a great day that we celebrated with all our friends and allies,” he messaged me on WhatsApp."
349,"“We are proud about what we did, that victory is not just for Kurds."
350,It is for all humanity.” Mazloum invited his American counterparts to attend.
351,"In front of the stars and stripes, a band of young Syrians dressed in red-and-gold uniforms played the American national anthem."
