ArticleID,Article Name,Sentence Order #,Sentence,HITID,WorkerID,Is_Relevant
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",24,"He is also stressing the importance of the rule of law, warning of Netanyahu’s alliance with messianists and proto-fascist followers of the late Rabbi Meir Kahane—of the danger that Netanyahu is turning Israel into an authoritarian theocracy, as Recep Tayyip Erdoğan has done in Turkey—and promising to force ultra-Orthodox Haredi schools, which focus on religious studies, to also teach such basic subjects as math and English.",HIT119,Worker119,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",25,"He is presenting himself as a return to an eclipsed, progressive Israeliness.",HIT120,Worker120,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",26,"Blue and White’s winning a majority bloc is another matter, however.",HIT121,Worker121,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",27,"For that, it will have to hold its own without luring (even more) voters away from Zionist allies in its block—the Labor Party and the left-wing Meretz Party—who will have to perform at least as well if not better than expected.",HIT122,Worker122,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",28,"More important, Gantz will need the Arab vote to be substantially higher than it has been, both to elect more Arab Knesset members—who would block Netanyahu’s rightists—and to raise the electoral threshold, thus sinking marginal rightist parties.",HIT123,Worker123,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",29,"But the polls anticipate a decline in the Arab vote, putting one Arab party at risk of dropping below the Knesset threshold.",HIT124,Worker124,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",30,So Gantz would be trapped.,HIT125,Worker125,1
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",31,He’d need support from secular-left and Arab parties to get the Presidential mandate.,HIT126,Worker126,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",32,He’d then have forty-five days to form a government.,HIT127,Worker127,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",33,"But, to form a government only with Zionists, he’d need not only Labor and Meretz but also some combination of rightist parties, including some of the ultra-Orthodox and rightist zealots whom he’s been running against.",HIT128,Worker128,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",34,"According to Haaretz, Gantz has hinted which of those parties he’d court.",HIT129,Worker129,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",35,"He’s reportedly planning to approach United Torah Judaism, a veteran Haredi party that is traditionally hostile to secular Zionism, but never mind; the Haredim have schools and rabbinic sinecures to protect, and would therefore, at least notionally, be willing to join any government.",HIT130,Worker130,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",36,Gantz is also courting two small parties that grew out of the Likud.,HIT131,Worker131,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",37,"First, there is the populist Kulanu (“All Together”), which appeals primarily to Mizrahi Jews, of Middle Eastern descent, who do not see returning to an older Israel, run by descendants of European pioneers, as a plus; Kulanu’s leader, Moshe Kahlon, is currently the finance minister.",HIT132,Worker132,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",38,"Then there is Zehut (“Identity”), which espouses a strange mix of libertarian rhetoric—chiefly, in support of the legalization of weed—and a mystical religious attachment to the settlement movement and to the goal of building a Third Temple on the Temple Mount.",HIT133,Worker133,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",39,"Any of these parties might be willing to join a coalition in exchange for being awarded key ministries, which would likely upset promises made to the leftist parties.",HIT134,Worker134,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",40,Gantz seems to be counting on eating his Zionist cake while depending on those who would not have it.,HIT135,Worker135,1
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",41,"(One Arab party, Hadash-Taal, has already announced that it will support him.)",HIT136,Worker136,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",42,"If the rightist parties decide not to join him, he would have to form a minority government with Labor and Meretz, with the Arab members of Knesset provisionally voting with them from the back benches.",HIT137,Worker137,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",43,"(This was the arrangement that Yitzhak Rabin lived with during the Oslo process, before he was assassinated by a rightist zealot.)",HIT138,Worker138,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",44,"Gantz’s senior ally at the head of Blue and White, Yair Lapid, has dismissed this prospect out of hand.",HIT139,Worker139,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",45,"But the party may have no other choice, except to find some kind accommodation with the Likud, about which more presently.",HIT140,Worker140,0
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",46,Netanyahu wins outright—and saves himself.,HIT141,Worker141,1
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",47,Netanyahu is facing indictments.,HIT142,Worker142,1
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",48,The fact that his bloc is still in the lead is a tribute to his campaign—and to his desperation.,HIT143,Worker143,0
