,agreement,article_id,max_votes,sentence,votes
18,100.0,Article1,10,"For Blue and White to win a plurality, a significant number of secular, formerly right-of-center voters will have to support it.",10
19,10.0,Article1,10,So will a significant number of young first-time voters.,1
20,80.0,Article1,10,"This is a tall order: to most Israelis, the business sector seems strong, as does the deterrence of enemies, and Netanyahu gets credit for both.",8
21,0.0,Article1,10,So even young Israelis tend to skew right.,0
22,10.0,Article1,10,"A poll conducted by the Israel Democracy Institute shows that among Israelis aged sixty-five and older, Gantz beats Netanyahu fifty-three per cent to thirty-five; among voters aged eighteen to twenty-four, Netanyahu beats Gantz sixty-five per cent to seventeen.",1
23,20.0,Article1,10,"Gantz and his allies have been courting these secular, security-minded voters, promising to provide a hard line on security—three of the four senior leaders of Blue and White are former generals—and that he will form a government only with Zionist (read: non-Arab) parties.",2
24,20.0,Article1,10,"He is also stressing the importance of the rule of law, warning of Netanyahu’s alliance with messianists and proto-fascist followers of the late Rabbi Meir Kahane—of the danger that Netanyahu is turning Israel into an authoritarian theocracy, as Recep Tayyip Erdoğan has done in Turkey—and promising to force ultra-Orthodox Haredi schools, which focus on religious studies, to also teach such basic subjects as math and English.",2
25,20.0,Article1,10,"He is presenting himself as a return to an eclipsed, progressive Israeliness.",2
26,20.0,Article1,10,"Blue and White’s winning a majority bloc is another matter, however.",2
27,10.0,Article1,10,"For that, it will have to hold its own without luring (even more) voters away from Zionist allies in its block—the Labor Party and the left-wing Meretz Party—who will have to perform at least as well if not better than expected.",1
28,10.0,Article1,10,"More important, Gantz will need the Arab vote to be substantially higher than it has been, both to elect more Arab Knesset members—who would block Netanyahu’s rightists—and to raise the electoral threshold, thus sinking marginal rightist parties.",1
29,10.0,Article1,10,"But the polls anticipate a decline in the Arab vote, putting one Arab party at risk of dropping below the Knesset threshold.",1
30,90.0,Article1,10,So Gantz would be trapped.,9
31,10.0,Article1,10,He’d need support from secular-left and Arab parties to get the Presidential mandate.,1
32,10.0,Article1,10,He’d then have forty-five days to form a government.,1
33,10.0,Article1,10,"But, to form a government only with Zionists, he’d need not only Labor and Meretz but also some combination of rightist parties, including some of the ultra-Orthodox and rightist zealots whom he’s been running against.",1
34,20.0,Article1,10,"According to Haaretz, Gantz has hinted which of those parties he’d court.",2
35,10.0,Article1,10,"He’s reportedly planning to approach United Torah Judaism, a veteran Haredi party that is traditionally hostile to secular Zionism, but never mind; the Haredim have schools and rabbinic sinecures to protect, and would therefore, at least notionally, be willing to join any government.",1
36,20.0,Article1,10,Gantz is also courting two small parties that grew out of the Likud.,2
37,20.0,Article1,10,"First, there is the populist Kulanu (“All Together”), which appeals primarily to Mizrahi Jews, of Middle Eastern descent, who do not see returning to an older Israel, run by descendants of European pioneers, as a plus; Kulanu’s leader, Moshe Kahlon, is currently the finance minister.",2
38,10.0,Article1,10,"Then there is Zehut (“Identity”), which espouses a strange mix of libertarian rhetoric—chiefly, in support of the legalization of weed—and a mystical religious attachment to the settlement movement and to the goal of building a Third Temple on the Temple Mount.",1
39,0.0,Article1,10,"Any of these parties might be willing to join a coalition in exchange for being awarded key ministries, which would likely upset promises made to the leftist parties.",0
40,90.0,Article1,10,Gantz seems to be counting on eating his Zionist cake while depending on those who would not have it.,9
41,0.0,Article1,10,"(One Arab party, Hadash-Taal, has already announced that it will support him.)",0
42,10.0,Article1,10,"If the rightist parties decide not to join him, he would have to form a minority government with Labor and Meretz, with the Arab members of Knesset provisionally voting with them from the back benches.",1
43,10.0,Article1,10,"(This was the arrangement that Yitzhak Rabin lived with during the Oslo process, before he was assassinated by a rightist zealot.)",1
44,10.0,Article1,10,"Gantz’s senior ally at the head of Blue and White, Yair Lapid, has dismissed this prospect out of hand.",1
45,0.0,Article1,10,"But the party may have no other choice, except to find some kind accommodation with the Likud, about which more presently.",0
46,80.0,Article1,10,Netanyahu wins outright—and saves himself.,8
47,100.0,Article1,10,Netanyahu is facing indictments.,10
48,20.0,Article1,10,The fact that his bloc is still in the lead is a tribute to his campaign—and to his desperation.,2
49,20.0,Article1,10,He seems to have grasped that swing voters have been looking not for sophisticated policy initiatives or democratic scruples but toughness.,2
50,20.0,Article1,10,"Opponents with a comparatively stronger military background, particularly Blue and White’s generals, could have been a problem; so Netanyahu’s campaign has used social media, aided by timely leaks, to warp Gantz’s record, depicting him as indecisive, weak, possibly compromised by a hacked phone—and, in any case, beholden to Arab voters.",2
51,20.0,Article1,10,"(An Israeli watchdog group has uncovered a network of hundreds of social-media accounts, many of them fake, used to smear Netanyahu’s opponents.)",2
52,20.0,Article1,10,"Netanyahu has meanwhile flaunted his personal relationships with Donald Trump, who, in effect, made a campaign video for him, and with Vladimir Putin; brought the new, autocratic Brazilian President, Jair Bolsonaro, to Jerusalem; announced Trump’s recognition of Israel’s Golan Heights annexation; and called up reserves, ostensibly to attack on the Gaza front, while suggesting a behind-the-scenes deal with Hamas.",2
53,20.0,Article1,10,He’s projecting indispensability.,2
54,10.0,Article1,10,"Ideally, from his perspective, he would have a five- or six-seat cushion in the Knesset, so that none of the smaller parties could threaten to bring him down or extort too much from coalition negotiations.",1
55,20.0,Article1,10,"Netanyahu would have another incentive, however, to coddle the most extremist of those parties, who, in turn, could play on his legal problems to gain access to power.",2
56,0.0,Article1,10,"His hearings are scheduled for July and, if he is not cleared, which seems likely, he will be forced to stand trial; according to precedent and Supreme Court rulings, ministers who are indicted must resign.",0
57,90.0,Article1,10,Netanyahu’s way around this is to form a coalition that will urgently pass two laws.,9
58,80.0,Article1,10,"The first, already pending in various versions, would give the Knesset the right to overturn, by a simple majority, any Supreme Court decision that strikes down an existing law as unconstitutional; the second would make it illegal to indict a sitting Prime Minister, as opposed to an ordinary minister.",8
59,90.0,Article1,10,"In effect, Netanyahu would be putting himself above the law.",9
60,0.0,Article1,10,"Only the various ultra-nationalist and Kahanist parties have signalled that they would go along with this plan; Netanyahu is their ticket into the government, and they already regard the Supreme Court as their nemesis.",0
61,20.0,Article1,10,"Pandering to their voters, Netanyahu promised on Saturday that his next government would apply Israeli law to virtually all West Bank settlements—in effect, annexing large swaths of Palestinian territory.",2
62,0.0,Article1,10,"Arguably, this is his most audacious move so far.",0
63,10.0,Article1,10,"The promise may unsettle some wavering voters, and, ironically, if it draws more rightist voters to the Likud, Netanyahu may gain his plurality at the cost of a smaller rightist party’s failure to pass the threshold, thus weakening or even endangering his bloc’s majority.",1
64,100.0,Article1,10,Netanyahu wins narrowly—and faces a Likud revolt.,10
65,100.0,Article1,10,"If Netanyahu’s bloc does win only a bare majority, his ability to form a government won’t be much better than Gantz’s.",10
66,20.0,Article1,10,"Smaller, extremist parties would have the leverage to demand being put in charge of key ministries.",2
67,10.0,Article1,10,"They could also preëmpt any consideration of the Trump peace plan, which is expected to make some gestures toward eventual Palestinian sovereignty, however reduced in scope.",1
68,10.0,Article1,10,"In either case, senior Likud leaders—for example, Gideon Sa’ar, the former education minister who has tangled with Netanyahu in the past—would not be pleased with the idea of ceding power to the smaller parties.",1
69,0.0,Article1,10,"Moshe Kahlon, whose support Netanyahu may need again, has, for his part, always protected the Supreme Court.",0
70,0.0,Article1,10,Either man might inherit the Likud’s leadership if Netanyahu were forced out.,0
71,10.0,Article1,10,"The former Prime Minister Ehud Olmert, an experienced veteran of similar negotiations, has privately indicated that he doubts senior Likud ministers would be ready to sacrifice their political futures, and give up so many senior positions in the cabinet, just to save the Prime Minister for the few months until his hearings may force him to face trial.",1
72,80.0,Article1,10,A unity government is negotiated.,8
73,90.0,Article1,10,This is a radical possibility that may appear less so as the post-election dust settles.,9
74,10.0,Article1,10,"If Netanyahu’s pending indictments were not a stumbling block, the conundrum facing both leading parties would militate for a government of national unity, which would keep out the ultra-rightists and the Kahanists, and could expand to include, say, Labor and Kulanu.",1
75,90.0,Article1,10,"Indeed, in ordinary years, such a government would seem irresistible.",9
76,0.0,Article1,10,"It might entail a rotation agreement—as Labor and Likud had in a unity government established in 1984—with one leader holding the Prime Minister’s job for the first two years of a four-year term, and the other for the last two.",0
77,90.0,Article1,10,"The President, Reuven Rivlin, concerned about the integrity of civil society and its judicial institutions, is reported to be entertaining this idea.",9
78,80.0,Article1,10,It’s hard to believe that a vast majority of voters for both parties wouldn’t see it as a relief.,8
79,10.0,Article1,10,Gantz’s animus for Netanyahu is real.,1
80,10.0,Article1,10,"But he was secretly recorded saying that “the door is closed but not locked,” regarding joining with the Likud in a unity government—if Netanyahu’s criminal proceedings don’t get in the way.",1
81,20.0,Article1,10,"This might be interpreted as wanting to wait until the hearings determine, finally, whether the Prime Minister will be indicted.",2
82,10.0,Article1,10,Other arrangements might become plausible as the most obvious options narrow.,1
83,20.0,Article1,10,"Blue and White leaders might break away and join Netanyahu without Gantz, or various Likud leaders might join with Gantz without Netanyahu.",2
84,20.0,Article1,10,"Rationalizations, from both sides, would not be wanting.",2
85,90.0,Article1,10,A unity government is installed.,9
86,100.0,Article1,10,"Netanyahu’s proceedings are in the way, however.",10
87,10.0,Article1,10,And it is hard to see how any unity government—any leaders other than Netanyahu sycophants in the Likud and right-extremists—will agree to hand Netanyahu new laws that tamper with basic constitutional law.,1
88,100.0,Article1,10,"The only way that he could be moved aside is if Rivlin, who has long been alienated from him, consults with all parties, concedes a virtual tie, and turns to a third member of the Knesset—say, a veteran Likud rival such as Sa’ar—and asks that member to assemble a coalition.",10
89,20.0,Article1,10,"The move would be unprecedented, and it would have to be coördinated with Gantz, but he has already made it clear that he would go for a coalition with the Likud sans Netanyahu—if only to keep the Kahanists out.",2
90,100.0,Article1,10,"There is much to learn from this campaign, none of it reassuring.",10
91,90.0,Article1,10,"Like Trump’s supporters, Netanyahu’s often seem to so deeply identify with his everyman posturing, his regional bullying, and his nationalist resentments that democratic institutions can be made to appear as just another élitist preoccupation.",9
92,10.0,Article1,10,"The Passover Haggadah, which will be read in a couple of weeks’ time, says that the “simple son” is answered with shows of strength.",1
93,20.0,Article1,10,Netanyahu has grasped the lesson.,2
