,paragraph_1,paragraph_2,paragraph_3
10,"
","During the 2016 Presidential campaign, Donald Trump had repeatedly blasted the Obama Administration for not doing enough to defeat ISIS.#$He vowed to do moremuch more.#$I would bomb the shit out of them, he said at one rally.#$Id just bomb those suckers.#$Id blow up the pipes, Id blow up the refineries, Id blow up every single inchthere would be nothing left. In May, 2017, four months after taking office, Trump approved arms shipmentsmachine guns, mortars, anti-tank weapons, armored cars, and engineering equipmentto the Kurds.#$The battle for Raqqa accelerated in June.#$The S.D.F.#$seized the ISIS capital in October.#$More than six hundred and fifty S.D.F.#$fightersKurds, Arabs, Turkmen, and Syriac Christianswere killed in Raqqa.#$
","
"
11,"The joint campaign faced sporadic challengesmenacing warnings from the Syrian government, the deployment of Russian mercenaries nearby, and constant criticism from Turkey.#$In November, 2017, President Recep Tayyip Erdogan called Trump, who was in Florida, preparing for a round of golf with Tiger Woods, to complain about U.S. arms flowing to Kurds in the S.D.F., which Erdogan considered a terrorist group.#$Surprising his aides, Trump promised to stop the shipments.#$Former U.S. officials familiar with the call told me that the President did not fully grasp the details, players, or regional politics of his own decision to arm the Kurdsor that it was the decision that enabled the Kurdish-led S.D.F.#$to liberate Raqqa.#$U.S. officials had to convince Trump that the weapons were essential because the war with ISIS was not over, a former Pentagon official told me The U.S. arms shipments to the Kurds continued.#$
","
","The campaign against ISIS was nearly derailed again when Turkish-backed fighters invaded Afrin, one of three Kurdish cantons in northern Syria, in January, 2018.#$The offensive followed news that the U.S. planned to create a border force of several thousandhalf from the S.D.F.#$and half new recruitsto better secure the Syrian borders with Turkey and Iraq.#$Tens of thousands of foreign fighters had passed through Turkish territory to join the caliphate.#$The U.S.-backed border force was designed to deal with a problem that Erdogan had not addressed.#$Erdogan countered that the U.S. was creating a terror army and vowed to suffocate it.#$
"
12,"
","The Turkish-backed invasion forced Mazloum to pull S.D.F.#$troops away from the front line with ISIS, to defend Afrinthis time without U.S. air power to support them.#$Washington disapproved of Ankaras offensive, but Turkey was a NATO ally.#$The S.D.F.#$was no match for Turkeys tanks, artillery, and warplanes.#$After two months, Mazloums militia retreated.#$Relations soured with the United States; the offensive against ISIS stalled.#$U.S. intelligence predicted that Mazloum might even end the partnership.#$Were on the two-yard line, a senior U.S. Special Forces commander told NBC News.#$We could literally fall into the end zone.#$Were that close to total victory, to wiping out the ISIS caliphate in Syria.#$Were that close, and now its coming apart.#$
","
"
13,"The S.D.F.#$was also scrambling to administer and secure the regionroughly a third of Syriathat it had liberated.#$Towns were war-ravaged.#$Basic services were destroyed.#$Many residents had fled.#$In Arab areas, the S.D.F.#$turned to tribal sheikhs to help form new city councils.#$The S.D.F.#$did not just clear territory.#$They held it, McGurk, the former lead coordinator of the campaign, told me.#$They recruited locals to govern and established a permissive security environment.#$Thats what allowed us to be in Syria with a very light U.S. footprint.#$
","
","Mazloums militia, which included a large female force, returned to the ISIS battlefront last fall.#$The final hurdle was to clear Deir Ezzor province, which is home to Syrias most valuable oil fields.#$In December, the S.D.F.#$captured Hajin and began mapping out the next two months of operations with U.S. Special Forces.#$Their focus was on eliminating the stubborn Islamic State pockets near the Iraqi border and stabilizing liberated areas to prevent an ISIS resurgence.#$We have obviously learned a lot of lessons in the past, so we know that once the physical space is defeated we cant just pick up and leave, McGurk told reporters on December 11th.#$Were prepared to make sure that we do all we can to ensure this is enduring. U.S. goals, he added, will take some time.#$
"
14,"
","Six days later, Mazloum was summoned by General Joseph Votel, the head of U.S. operations in the Middle East, for a video conference.#$The timing, at midnight in Syria, was unexpected.#$So was the message.#$I was the first one to hear the words, Salar Malla, Mazloums aide-de-camp and translator, told me.#$Before you translate anything, you have to absorb it.#$I spoke the words, but I didnt believe them.#$
","
"
15,"General Votel informed Mazloum that he had received a letter from the White House two hours earlier, ordering the immediate withdrawal of U.S. troops from Syria.#$Votel did not know the details, he told Mazloum, but he had wanted the Kurd to hear it from him rather than from the media.#$It was a surprise, Mazloum told me, at his forward operating base.#$We didnt believe that in the middle of the battle, when were fighting against ISIS, when were fighting against all the others, that our partners would abandon us.#$To be honest, the painful point for us was that America is a great country.#$How could a great country behave like that and abandon its allies in the middle of the fight?#$And, from that time on, how are people going to trust in the Americans or partner with them in any fight in the future?#$
","
","Trump had made the decision unilaterally, U.S. officials told me.#$There had been no interagency review, no conferring with military brass, no discussions with the dozens of other countries in the U.S.-led coalition.#$Many were as surprised as Mazloum was.#$The pivot had been another telephone conversation with President Erdogan.#$The Turkish leader asked why the U.S. needed two thousand troops in Syria if the caliphate was collapsing.#$Two days later, Trump tweeted, We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency. The problem was that ISIS had not yet collapsed.#$It still had tens of thousands of fighters, families, and fans in pockets of the Euphrates River Valley.#$
"
16,"
","In Washington, the backlash to Trumps abrupt decision was immediate.#$Defense Secretary James Mattis pleaded with the President to change his mind; when he didnt, Mattis resigned.#$So did McGurk.#$Even Trumps Republican allies expressed outrage.#$Lindsey Graham called the decision a stain on the honor of the United States. A bipartisan group of senators appealed to the White House.#$If you decide to follow through with your decision to pull our troops out of Syria, any remnants of ISIS in Syria will surely renew and embolden their efforts in the region, they wrote.#$
","
"
17,"In a rare public statement, Mazloum also appealed to Trump, asking him to keep at least half of the two thousand troops in place until all of the Islamic States territory was liberated.#$We would like to have air cover, air support and a force on the ground to coordinate with us, Kobani told reporters travelling with an American military delegation.#$American forces must remain beside us. Trump had once pledged to protect the S.D.F., Mazloum said.#$I want him to live up to his word. In a separate conversation, he admitted to me, Were worried about being alone again.#$
","
","Mazloum did not waver, however.#$Immediately, we started thinking of the phase after the American presence in Syria, and how were going to distribute our forces and depend on our own capacity to preserve those gains, he told me.#$At the end of the day, this is an internal American decision, and we cannot intervene in it.#$So we started thinking about how were going to be able to fight and do policy without them.#$
"
18,"
","A senior U.S. official who had worked closely with Mazloum reflected, Never once did he not live up to exactly what he said he was going to do. The S.D.F.#$fought on as the United States quietly began pulling out troops and equipment.#$The final front line was Baghouz, the farming hamlet near the Iraqi border.#$It was a long slog, with repeated pauses to allow civilians, including the families of ISIS fighters, to leave.#$We dont want the images from our last battle to be bloody, Mazloum told me.#$Were not ISIS.#$
","
"
19,"When Baghouz finally fell, on March 23rd, Mazloum hosted a small liberation ceremony at his base.#$It was a great day that we celebrated with all our friends and allies, he messaged me on WhatsApp.#$We are proud about what we did, that victory is not just for Kurds.#$It is for all humanity. Mazloum invited his American counterparts to attend.#$In front of the stars and stripes, a band of young Syrians dressed in red-and-gold uniforms played the American national anthem.#$
","
","
"
20,"
",,
