,0,1
26,"The President withdrew the nomination of Ronald Vitiello as the head of Immigration and Customs Enforcement, because Trump wanted to go in a “tougher direction.” Vitiello was a career immigration agent with decades of experience, and both Democrats and Republicans in the Senate signalled their support for his eventual confirmation.",26
27,The move was so unexpected that officials at D.H.S.,27
28,initially thought there’d been a clerical error.,28
29,"I spoke to one senior Department official the following day who told me, “We learned the news at the same time you did.” Although Vitiello had few opponents, they were influential.",29
30,"Chris Crane, the militant head of ICE’s union, and Stephen Miller, at the White House, believed Vitiello was too moderate on enforcement and were able to successfully lobby the President.",30
31,"Trump also faulted Vitiello for something outside of his control—in this case, the fact that ICE could not legally detain immigrant families indefinitely.",31
32,"ICE is currently detaining fifty thousand immigrants, a twenty-five-per-cent increase from last year and a record in agency history.",32
33,"But the agency has also been forced to release families near the border, and Trump has complained that it is reverting to “catch and release,” which he associates with the Obama Administration.",33
34,"“Based on the evidence, what else does Vitiello need to do in order to demonstrate his toughness?” John Amaya, the deputy chief of staff at ICE from 2015 to 2017, said.",34
35,"“Given the politics, laws, regulations, litigation, and operational constraints, what more could the agency accomplish under someone else’s leadership?",35
36,It must be a wonderful world to live in where you are willfully and blissfully ignorant to the realities of law enforcement and still have your seat in the Oval Office.” Trump has made immigration enforcement the rallying cry of his Presidency.,36
37,"But his politicization of D.H.S.—and especially of ICE, its interior enforcement arm—has repeatedly backfired.",37
38,"More than two years into his term, Trump still does not have a confirmed head of the agency.",38
39,"Vitiello’s predecessor, an enforcement veteran named Tom Homan, who came out of retirement to lead ICE, had embraced the President’s aggressive rhetoric.",39
40,"Trump praised him for looking “very nasty” and “very mean,” but his close identification with the President also made him politically toxic, and Homan resigned last year, after a tumultuous tenure in which the Senate never confirmed him.",40
41,"“It was a matter of time before Tom would leave,” a former D.H.S.",41
42,official who knew Homan told me at the time.,42
43,“It’s a dead-end job.,43
44,He’s been on TV non-stop talking about what they are doing and defending the Administration’s policies at every turn.,44
45,"Yet, when it came down to legislation and working with members of Congress, he was cut out.” The official added that Homan was “tired of being sent on these missions by the White House to scorch the earth.” Vitiello, who appeared to learn the lesson of Homan’s demise, was careful to tell the President what he needed to hear while also keeping a lower public profile.",45
46,Trump punished him anyway.,46
47,Nielsen’s successor as acting head of D.H.S.,47
48,"will be Kevin McAleenan, the commissioner of U.S. Customs and Border Protection (C.B.P.).",48
49,"Current and former department officials have told me that McAleenan is “smart,” “fact-driven,” “intellectual,” and “thoughtful.” A lawyer by training, with a degree from the University of Chicago, he first joined D.H.S.",49
50,"in 2006, as a customs agent in Los Angeles, and later rose to become the deputy commissioner of C.B.P.",50
51,"under President Obama; in March of 2018, the Senate confirmed him as head of the agency.",51
52,"The biggest question surrounding McAleenan, who, unlike Nielsen, is seen by both Republicans and Democrats as a credible choice to lead the government’s third-largest federal department, is how quickly Trump will sour on him.",52
53,McAleenan has already taken public positions that are at odds with the extremist views of the White House.,53
54,"Last December, he praised a new plan at the State Department to increase aid to Central American countries to help improve conditions in the region, and he has continued to speak forcefully about the need for the U.S. to address the root causes of emigration.",54
55,"As head of C.B.P., an agency tasked with policing the border, McAleenan has had limited sway over foreign policy.",55
56,"Now that he’s in a position to play a bigger role in those discussions, he runs the risk of upsetting the President.",56
57,MORE FROM News Desk The Sinking of the M.V.,57
58,"Sewol and the Confusion of Disasters Why Turkey’s Election Results Test Erdoğan’s Grip on Power Trump’s Cycle of Self-Sabotage at the U.S. Border How the Supreme Court Justice Sandra Day O’Connor Helped Preserve Abortion Rights No Conspiracy, No Exoneration: The Conclusions from the Mueller Report The Reckoning of Morris Dees and the Southern Poverty Law Center Another concern, typical for anyone in the Administration, is whether it’s even possible for a career public servant like McAleenan to operate effectively, and with integrity, in the face of constant pressure from the White House.",58
59,"“That’s what makes me nervous,” one Administration official told me.",59
60,"“I’m not sure how he can finesse things with this Administration.” McAleenan did not think up the Administration’s family-separation policy, for example, but he did play a role in implementing it.",60
61,"In April of 2018, his name was at the top of a document signed by three agency heads at D.H.S.—including Tom Homan, at ICE, and Francis Cissna, at Citizen and Immigration Services—arguing that family separation would deter other immigrant families, according to someone who saw the document.",61
62,"In December, as the Trump Administration tightened restrictions at ports of entry and migrants crossed in increasingly remote areas of the desert, two Guatemalan children died in the custody of Border Patrol.",62
63,"“McAleenan is a career civil servant, and I believe he wants to see his job through to the end, regardless of the Administration,” the official told me.",63
64,"In the Trump Era, doing so comes at a high cost.",64
65,"Video From The New Yorker For all of McAleenan’s credentials, his new title may be a sign of someone else’s promotion.",65
66,"In a single week, Stephen Miller has successfully torpedoed the careers of two D.H.S.",66
67,officials and has shown his ever-expanding influence within the Administration.,67
68,"In a recent Oval Office meeting, according to the Washington Post, Trump told Miller that he would be in charge of “all immigration and border matters.” There’s been talk of creating a new government post known as Trump’s “immigration tsar,” with ranging responsibilities to implement Miller’s agenda; the names reportedly under consideration—including the former Virginia attorney general Ken Cuccinelli and the former secretary of state of Kansas Kris Kobach—are notorious for their partisan and ideological bona fides.",68
69,"Miller appears to hold even greater sway over immigration policy than he did a year ago, and the President, who’s reportedly championing a new policy to separate families at the border, is as receptive as ever.",69
70,"On Sunday, I asked the Administration official whether McAleenan stood a chance of leading the Department under these circumstances.",70
71,"“If Trump wants a negotiator, someone who has a lot of credibility,” the official said, “he has that in McAleenan.” The official then went on to outline a list of policy priorities for addressing the crisis at the border that might achieve some measure of consensus in Washington.",71
72,"“So far,” he added, “there hasn’t been any serious effort to give those a chance.”",72
